àbac	ˈaβək
panadeiras	pənəˈðejɾəs
panadell	pənəˈðeʎ
panadero	pənəˈðeɾo
panafone	panaˈfon
panahome_corporation	pənəˈxɔmkorpoˈɾejʃon
panales	pəˈnales
pañalla	pəˈɲaʎə
pañalver	pəɲəlˈβeɾ
panama_city	ˈpanəməˈsiti
panamà	pənəˈma
panambi	pəˈnambi
pan_american_silver_corporation	ˈpanaˈmɛɾikənˈsilβərkorpoˈɾejʃon
panamsat_corporation	panamˈsatkorpoˈɾejʃon
panao	pəˈnao
panareda	pənəˈɾeðə
panasdemunt	pənəzdəˈmun
panasonic	panaˈsɔnik
panasonic_españa	panaˈsɔnikesˈpaɲa
panathinaikos	panatiˈnajkos
panavera	pənəˈβeɾə
panbil	pəmˈbil
pancedo	pənˈseðo
panchame	pənˈʧame
pancha	ˈpanʧə
panchita	pənˈʧitə
pancho	ˈpanʧo
pancracia	pəŋˈkɾasjə
pancracio	pəŋˈkɾasjo
pandis	ˈpandis
pandolfi	pənˈdolfi
pandon	ˈpandon
pandora	pənˈdoɾə
pañego	pəˈɲeɣo
pañeilla	pəˈɲejʎə
pañella	pəˈɲeʎə
pañellas	pəˈɲeʎəs
pañell	pəˈɲeʎ
panera_bread_company	paˈneɾaˈβɾɛtˈkompəni
pánfilo	ˈpamfilo
panicot	pəniˈkɔt
paniello_charlez	panjeloˈʧarles
panieri	pəˈnjeɾi
panimo	pəˈnimo
panina	pəˈninə
panino	pəˈnino
pani	ˈpani
panis	ˈpanis
panissars	pəniˈsas
panivino	pəniˈβino
pan_malaysian_industries	ˈpamməˈlajziəninˈdustɾis
panorama	pənuˈɾamə
panosa	pəˈnozə
panova	pəˈnɔβə
pan_overseas_electronic_corporation	ˈpanouwβərˈsizelekˈtɾɔnikkorpoˈɾejʃon
pañoz	pəˈɲos
panpols	pəmˈpols
panreac_química	pənreˈakˈkimikə
panrico	pənˈriko
panses	ˈpansəs
pansu	ˈpansu
pantà_de_boadella	pənˈtaðəβuəˈðeʎə
pantà_de_borén	pənˈtaðəβuˈɾen
pantà_de_camarasa	pənˈtaðəkəməˈɾazə
pantà_de_canelles	pənˈtaðəkəˈneʎəs
pantà_de_flix	pənˈtaðəˈfliks
pantà_de_foix	pənˈtaðəˈfoʃ
pantà_de_gaià	pənˈtaðəɣəˈja
pantà_de_la_baells	pənˈtaðələβəˈeʎs
pantà_de_la_casa	pənˈtaðələˈkazə
pantà_de_la_llosa_del_cavall	pənˈtaðələˈʎɔzəðəlkəˈβaʎ
pantà_de_la_torrassa	pənˈtaðələtuˈrasə
pantà_de_llesp	pənˈtaðəˈʎesp
pantà_del_pasteral	pənˈtaðəlpəstəˈɾal
pantà_dels_guiamets	pənˈtaðəlzɣiəˈmɛʦ
pantà_dels_terradets	pənˈtaðəlsterəˈðɛʦ
pantà_de_margalef	pənˈtaðəmərɣəˈlɛf
pantà_de_rialb	pənˈtaðəriˈalp
pantà_de_riba-roja	pənˈtaðəriβəˈrɔʒə
pantà_de_riudecanyes	pənˈtaðəriuwðəˈkaɲəs
pantà_de_santa_anna	pənˈtaðəˈsanˈtannə
pantà_de_santa_fe	pənˈtaðəˈsantəˈfɛ
pantà_de_sant_antoni	pənˈtaðəˈsanənˈtɔni
pantà_de_sant_llorenç_de_montgai	pənˈtaðəˈsaɲʎuˈɾɛnzðəmuŋˈgaj
pantà_de_sant_ponç	pənˈtaðəˈsamˈpɔns
pantà_de_sau	pənˈtaðəˈsauw
pantà_d'escales	pənˈtaðəsˈkaləs
pantà_de_senet	pənˈtaðəsəˈnɛt
pantà_de_simó	pənˈtaðəsiˈmo
pantà_de_siurana	pənˈtaðəsiuwˈɾanə
pantà_de_susqueda	pənˈtaðəsusˈkɛðə
pantà_de_tremp	pənˈtaðəˈtɾem
pantà_de_vallforners	pənˈtaðəβəʎfurˈnes
pantà_d'oliana	pənˈtaðuliˈanə
pantà_d'utxesa	pənˈtaðutˈʃɛzə
pantà_gran_de_sucs	pənˈtaˈɣɾandəˈsuks
pantaleona	pəntəleˈonə
pantaleoni	pəntəleˈoni
pantaleón	pəntəleˈon
pantano	pənˈtano
pantà	pənˈta
pantebre	pənˈteβɾe
pantego	pənˈteɣo
pantel	pənˈtel
pantene	pənˈten
pantinat	pəntiˈnat
pantoja	pənˈtoxə
pantomima	pəntuˈmimə
pantos	ˈpantos
pantry	ˈpantɾi
pantubi	pənˈtuβi
panuncio	pəˈnunsjo
panva_gas_holdings	ˈpambəˈɣazˈxɔlðiŋs
panxampla	pənˈʃamplə
panyella	pəˈɲeʎə
panzuela	pənˈswelə
paola	pəˈɔlə
paolina	pəoˈlinə
paolo	pəˈolo
paove	pəˈoβe
papa_john's_international	ˈpapəˈʒɔnzinterˈnaʃonəl
papallona	pəpəˈʎonə
papa	ˈpapə
papas	ˈpapəs
papastratos_cigarette_corporation	pəˈpastɾatosˈsiɣəretkorpoˈɾejʃon
papeete	paˈpit
papelera_del_principado	papeˈleɾaðelpɾinθiˈpaðo
papelera_marcelinobate	papeˈleɾamarθeˈlinoˈβate
papelera_riudevitlles	papeˈleɾariuwðəˈβiʎʎəs
papelería_la_oliva	papeleˈɾialaoˈliβa
papeles_lui	paˈpelezˈluj
papeles_vela	paˈpelezˈβɛlə
papereria_llibreria_campus_amèlia	pəpəɾəˈɾiəʎiβɾəˈɾiəˈkampuzəˈmɛliə
papereria_llibreria_campus_melcior_palau	pəpəɾəˈɾiəʎiβɾəˈɾiə#ˈkampuzməlsiˈorpəˈlauw
papini	pəˈpini
papin	ˈpapin
papio	ˈpapjo
papirer	pəpiˈɾe
papis	ˈpapis
papiz	pəˈpis
papo	ˈpapo
paps	ˈpaps
papton	ˈpapton
papua	pəˈpuə
papua-nova_guinea	pəˈpuəˈnɔβəɣiˈneə
paque	ˈpake
paquera	pəˈkeɾə
paquer	pəˈke
paques	ˈpakes
paquet	pəˈkɛt
paquita_borràs	pəˈkitəβuˈras
paquito	pəˈkito
paradaltas	pəɾəˈðaltəs
paradeda	pəɾəˈðeðə
paradera	pəɾəˈðeɾə
paradigm_genetics	ˈpaɾaðiɣmʒeˈnɛtiks
paradigm_medical_industries	ˈpaɾaðiɣmˈmɛðikəlinˈdustɾis
paradis	pəˈɾaðis
paradís	pəɾəˈðis
parador	pəɾəˈðoɾ
paradyne_networks	ˈpaɾaðinˈnɛdworks
paraguai	pəɾəˈɣwaj
paraira	pəˈɾajɾə
parallel_petroleum_corporation	ˈpaɾalɛlpeˈtɾɔljumkorpoˈɾejʃon
paral·lel	pəɾəˈlɛl
paramaribo	pəɾəməˈɾiβu
parametric_technology_corporation	paɾaˈmɛtɾiktegˈnoloʒikorpoˈɾejʃon
paramount_bed_corporation	ˈpaɾamouwmˈbɛtkorpoˈɾejʃon
paramount_resources	ˈpaɾamouwnreˈsouwrs
paraoan	pəɾəuˈan
para	ˈpaɾə
pararol	pəɾəˈɾɔl
pararols	pəɾəˈɾɔls
pararo	pəˈɾaɾo
paratge_natural_d'interès_nacional_de_l'albera	pəˈɾadʒənətuˈɾalðintəˈɾɛznəsiuˈnalðələlˈβeɾə
paratge	pəˈɾadʒə
parat	pəˈɾat
paravati	pəɾəˈβati
parc_aquàtic_water_park	ˈparkəˈkwatigˈgwaterˈpark
parc_arqueològic	ˈparkərkəuˈlɔʒik
parc_científic_de_barcelona	ˈparksiənˈtifigdəβərsəˈlonə
parc_d'atraccions_tibidabo	ˈpargdətɾəksiˈonstiβiˈðaβu
parc_de_la_budellera	ˈpargdələβuðəˈʎeɾə
parc_de_la_ciutadella_per	ˈpargdələsiuwtəˈðeʎəˈper
parc_de_les_palmeres	ˈpargdələspəlˈmeɾəs
parc_de_montjuïc	ˈpargdəmuɲʒuˈik
parce	ˈparse
parcericas	pərseˈɾikəs
parcerisa	pərsəˈɾizə
parc_nacional_d'aigües_tortes_i_estany_de_sant_maurici	ˈpargnəsiuˈnalˈðajɣwəsˈtɔrtəs#jəsˈtaɲdəˈsamməuwˈɾisi
parc_nacional_d'aigüestortes	ˈpargnəsiuˈnalðəjɣwəsˈtɔrtəs
parc_natural_de_collserola	ˈpargnətuˈɾalðəkoʎsəˈɾɔlə
parc_natural_del_cadí-moixeró	ˈpargnətuˈɾalðəlkəˈðimuʃəˈɾo
parc_natural_del_cap_de_creus	ˈpargnətuˈɾalðəlˈkabdəˈkɾɛuws
parc_natural_del_delta_de_l'ebre	ˈpargnətuˈɾalðəlˈdɛltəðəˈleβɾə
parc_natural_del_garraf	ˈpargnətuˈɾalðəlɣəˈraf
parc_natural_dels_aiguamolls_de_l'empordà	ˈpargnətuˈɾalðəlzajɣwəˈmɔʎzðələmpurˈða
parc_natural_de_montnegre-corredor	ˈpargnətuˈɾalðəmunˈneɣɾəkurəˈðo
parc_natural_de_montserrat	ˈpargnətuˈɾalðəmunsəˈrat
parc_natural_de_sant_llorenç_del_munt_i_de_la_serra_de_l'obac	ˈpargnətuˈɾaldəˈsaɲʎuˈɾɛnzðəlˈmun#iðələˈsɛrəðəluˈβak
parc_natural_de_sant_llorenç_del_munt	ˈpargnətuˈɾaldəˈsaɲʎuˈɾɛnzðəlˈmun
parc_natural_de_zona_volcànica_de_la_garrotxa	ˈpargnətuˈɾaldəˈzonəβulˈkanikəðələɣəˈrɔtʃə
parc_sanitari_pere_virgili	ˈparksəniˈtaɾiˈpeɾəβirˈʒili
parc	ˈpark
parc_zoològic	ˈpargzuˈlɔʒik
pardas	ˈparðəs
pardellans	pərðəˈʎans
pardella	pərˈðeʎə
pardenilla	pərðeˈniʎə
pardes	ˈparðes
pardiña	pərˈðiɲə
pardine	pərˈðine
pardinez	pərðiˈnes
pardinhas	pərˈðinəs
pardinilla	pərðiˈniʎə
pardini	pərˈðini
pardiño	pərˈðiɲo
pardino	pərˈðino
pardols	pərˈðɔls
pardones	pərˈðones
parea	pəˈɾeə
pare_claret	ˈpaɾəkləˈɾɛt
pare_damià	ˈpaɾəðəmiˈa
pareda	pəˈɾeðə
paredeiro	pəɾeˈðejɾo
paredero	pəɾeˈðeɾo
paredes	paˈɾeðes
pare_eusebi_millan	ˈpaɾəeuwˈzɛβimiˈʎan
pare_fidel_fita	ˈpaɾəfiˈðɛlˈfitə
pare_gallifa	ˈpaɾəɣəˈʎifə
pare_jacint_alegre	ˈpaɾəʒəˈsinəˈleɣɾə
parejos	pəˈɾexos
parelada	pəɾəˈlaðə
pare_laínez	ˈpaɾələˈinəs
parellada	pəɾəˈʎaðə
parella	pəˈɾɛʎə
parello	pəˈɾelo
parels	pəˈɾɛls
pare_manjón	ˈpaɾəməŋˈxon
pare_manyanet	ˈpaɾəməɲəˈnɛt
pare_marchena	ˈpaɾəmarˈʧena
pare_mariana	ˈpaɾəməɾiˈanə
pare_miquel_de_sarrià	ˈpaɾəmiˈkɛlðəsəriˈa
parens	pəˈɾɛns
pare	ˈpaɾə
pare_pérez_del_pulgar	ˈpaɾəˈpeɾezðelpulˈɣar
pareras	pəˈɾeɾəs
pare_rodés	ˈpaɾəruˈðes
pare_roldós	ˈpaɾərulˈðos
parer	pəˈɾɛ
pare_secchi	ˈpaɾəˈseki
pares	ˈpaɾəs
pareta	pəˈɾɛtə
paretas	pəˈɾetəs
pareto	pəˈɾɛtu
parets	pəˈɾɛʦ
parets_del_vallès	pəˈɾɛʣðəlβəˈʎɛs
parexel_international_corporation	ˈpaɾekˈselinterˈnaʃonəlkorpoˈɾejʃon
parfums_nina_ricci	pərˈfumzˈninəˈriʧi
pargesa_holding	parˈxesəˈxɔlðiŋ
parís	paˈɾis
parís_miki	paˈɾizˈmiki
park_bancorp	ˈpargˈbaŋkorp
park_electrochemical_corporation	ˈparkelektɾoˈkɛmikəlkorpoˈɾejʃon
parker_drilling_corporation	ˈparkerˈðɾiliŋkorpoˈɾejʃon
parker_hannifin_corporation	ˈparkerˈxanifiŋkorpoˈɾejʃon
parkervision	ˈparkerˈβizion
pàrking_agusn	ˈparkiŋəˈɣus
parking_alarcón	pərˈkiŋalarˈkon
parking_alfredo_díez_hernando	pərˈkiŋəlˈfɾeðoˈðiezerˈnando
pàrking_amigo	ˈparkiŋəˈmiɣo
pàrking_aragall_peiró	ˈparkiŋəɾəˈɣaʎpəjˈɾo
pàrking_arnús	ˈparkiŋərˈnus
parking_arrojo_álvarez	pərˈkiŋaˈroxoˈalβaɾeθ
parking_artes	pərˈkiˈŋartes
pàrking_àusias_march	ˈparkiˈŋauwziəzˈmark
parking_bailen	ˈparkiŋbəjˈlɛn
parking_baldi	ˈparkiŋˈbaldi
parking_barquero_benítez	ˈparkiŋbarˈkeɾoβeˈniteθ
pàrking_bergnes_de_las_casas	ˈparkiŋˈbɛrnəzðeˈlasˈkasas
pàrking_blau	ˈparkiŋˈblauw
pàrking_bonet	ˈparkiŋbuˈnɛt
pàrking_borràs_arqués	ˈparkiŋbuˈrazərˈkes
pàrking_brasil	ˈparkiŋbɾəˈzil
pàrking_bruna	ˈparkiŋˈbɾunə
pàrking_caballol_angrill	ˈparkiŋkəβəˈʎɔləŋˈgɾiʎ
parking_caladón	ˈparkiŋkələˈðon
parking_canudas_villanueva	ˈparkiŋkəˈnuðəzβiʎaˈnweβa
parking_car_berlín	ˈparkiŋˈkarβerˈlin
pàrking_cardenal_reig	ˈparkiŋkərðəˈnalˈreʧ
parking_carlos_iii	ˈparkiŋˈkarlosterˈθeɾo
pàrking_casalca	ˈparkiŋkəˈsalkə
parking_centurión	ˈparkiŋθentuɾiˈon
parking_chipre	ˈparkiŋˈʧipɾe
pàrking_clarasó_seguí	ˈparkiŋkləɾəˈzosəˈɣi
pàrking_condal	ˈparkiŋkunˈdal
parking_cópalo	ˈparkiŋˈkopalo
parking_cousillas	ˈparkiŋkuˈziʎəs
pàrking_dinamis	ˈparkiŋdiˈnamis
parking_dragón	ˈparkiŋdɾəˈɣon
parking_dublín	ˈparkiŋduˈβlin
pàrking_escofet_sabanes	ˈparkiŋəskuˈfɛtsəˈβanəs
parking_estrugas_prunera	pərˈkiŋəsˈtɾuɣəspɾuˈneɾə
pàrking_europa	ˈparkiŋəuwˈɾopə
pàrking_fabregat_i_sabater	ˈparkiŋfəβɾəˈɣatisəβəˈte
parking_fayos_brumos	ˈparkiŋˈfajozˈβɾumos
parking_ferrando_homs	ˈparkiŋfəˈrandoˈoms
pàrking_forga_meya	ˈparkiŋˈforɣəˈmɛjə
pàrking_fuster_pujol	ˈparkiŋfusˈtepuˈʒɔl
parking_galileo	ˈparkiŋgəliˈlɛuw
pàrking_galindo_solà	ˈparkiŋgəˈlindosuˈla
pàrking_gallart_ferrer	ˈparkiŋgəˈʎarfəˈre
pàrking_garatge_coliseum	ˈparkiŋgəˈɾadʒəkuliˈzɛuwm
parking_garcía_medina	ˈparkiŋgərˈsiəmeˈðina
parking_garrido_espinel	ˈparkiŋgəˈriðoəspiˈnɛl
parking_gemma	ˈparkiŋˈʒemmə
parking_giménez_sánchez	ˈparkiŋgiˈmeneθˈsaŋʧes
pàrking_giraut_pujol	ˈparkiŋʒiˈɾopuˈʒɔl
pàrking_godó_canalda	ˈparkiŋguˈðokəˈnaldə
parking_grande_dóniz	ˈparkiŋˈgɾandeˈðonis
pàrking_indústria	ˈparkiŋinˈdustɾiə
pàrking_jericó	ˈparkiŋʒəɾiˈko
parking_juñer_pardillo	ˈparkiŋʒuˈɲerparˈðiʎo
parking_kursaal	ˈparkiŋkurˈsal
pàrking_l'arpa	ˈparkiŋˈlarpə
pàrking_les_corts	ˈparkiŋləsˈkors
parking_líder	ˈparkiŋˈliðer
pàrking_l'illa	ˈparkiŋˈliʎə
parking_lori	ˈparkiŋˈlɔɾi
pàrking_masip_gilabert	ˈparkiŋməˈzibʒiləˈβɛrt
pàrking_mercadé_parera	ˈparkiŋmərkəˈðepəˈɾeɾə
pàrking_miralpeix_mingall	ˈparkiŋmiɾəlˈpɛʒmiŋˈgaʎ
parking_monterrey	ˈparkiŋmonteˈrej
pàrking_monturba	ˈparkiŋmonˈturβə
pàrking_morba	ˈparkiŋˈmɔrβə
pàrking_morer_fortuny	ˈparkiŋmuˈɾefurˈtuɲ
pàrking_municipal_font_castellana	ˈparkiŋmunisiˈpalˈfɔŋkəstəˈʎanə
pàrking_municipal_jorge_manrique	ˈparkiŋmunisiˈpalˈxorxemənˈrike
pàrking_municipal_olesa	ˈparkiŋmunisiˈpaluˈlɛzə
pàrking_municipal_onze_de_setembre	ˈparkiŋmunisiˈpaˈlonzəðəsəˈtembɾə
pàrking_municipal_parc_sant_martí	ˈparkiŋmunisiˈpal#ˈparkˈsammərˈti
pàrking_municipal_passatge_valldaura	ˈparkiŋmunisiˈpalpəˈsadʒəβaʎˈdauwɾə
pàrking_municipal_plaça_palmeres	ˈparkiŋmunisiˈpalˈplasəpəlˈmeɾəs
pàrking_municipal_plaça_porxos	ˈparkiŋmunisiˈpalˈplasəˈpɔrʃus
pàrking_municipal_polígon_canyelles	ˈparkiŋmunisiˈpalpuˈliɣuŋkəˈɲeʎəs
pàrking_municipal_roquetes	ˈparkiŋmunisiˈpalruˈkɛtəs
pàrking_municipal_sol_de_baix	ˈparkiŋmunisiˈpalˈsɔldəˈβaʃ
pàrking_municipal_verneda	ˈparkiŋmunisiˈpalβərˈnɛðə
parking_muste_andreu	ˈparkiŋˈmustənˈdɾeuw
parking_nafria_álvarez	ˈparkiŋˈnafɾjaˈalβaɾeθ
pàrking_noyet	ˈparkiŋnuˈjɛt
pàrking_nubiola_mas	ˈparkiŋnuβiˈɔləˈmas
parking_núñez-rocafort	ˈparkiŋˈnuɲeθrɔkəˈfɔrt
parking_núñez-urgell	ˈparkiŋˈnuɲeθurˈʒeʎ
parking_núñez-valència	ˈparkiŋˈnuɲezβəˈlɛnsiə
pàrking_parera	ˈparkiŋpəˈɾeɾə
pàrking_pere_iv	ˈparkiŋˈpeɾəˈkwar
pàrking_pompeia	ˈparkiŋpumˈpɛjə
pàrking_pons_bernal	ˈparkiŋˈpɔnzβərˈnal
pàrking_port_olímpic	ˈparkiŋˈpɔrtuˈlimpik
parking_prieto	ˈparkiŋpɾiˈeto
parking_princesa	ˈparkiŋpɾinˈsɛzə
parking_riera_alta	ˈparkiŋriˈeˈɾaltə
pàrking_ripoll	ˈparkiŋriˈpoʎ
parking_rosellón	ˈparkiŋrozeˈʎon
parking_salud	ˈparkiŋsəˈlut
parking_simón_estrade	ˈparkiŋsiˈmonəsˈtɾaðə
pàrking_solanes_huguet	ˈparkiŋsuˈlanəzuˈɣɛt
pàrking_soler_izard	ˈparkiŋsuˈleiˈzart
parking_tirado_romano	ˈparkiŋtiɾaˈðoroˈmano
parking_togu	ˈparkiŋˈtoɣu
parking_valverde	ˈparkiŋbalˈβerðe
pàrking_victòria	ˈparkiŋbikˈtɔɾiə
parking_windsor	ˈparkiŋgwinˈsor
parking_zamora_lópez	ˈparkiŋzaˈmoɾaˈlopeθ
park_national_corporation	ˈpargˈnaʃonəlkorpoˈɾejʃon
park_place_entertainment_corporation	ˈparkˈplejsenterˈtajmeŋkorpoˈɾejʃon
parkvale_financial_corporation	ˈpargˈβejlfinənsiˈalkorpoˈɾejʃon
parkway_holdings	ˈpargwajˈxɔlðiŋs
parlament	pərləˈmen
parlavà	pərləˈβa
parlon	ˈparlon
parlux_fragrances	ˈparluksˈfɾaɣɾans
parma	ˈparmə
parmalat_finanziaria	pərməˈlatfinənziˈaɾiə
parménides	pərˈmeniðes
parmenio	pərˈmenjo
parmero	pərˈmeɾo
parmies	ˈparmjes
parnau	pərˈnauw
parona	pəˈɾonə
paronella	pəɾuˈneʎə
parque_natural_de_montseny	ˈparkenatuˈɾalðemunˈsɛɲ
parque_natural_de_sant_llorenç_de_munt	ˈparkenatuˈɾal#dəˈsaɲʎuˈɾɛnzðəˈmun
parral	pəˈral
parròquia_bon_pastor	pəˈrɔkiəˈβɔmpəsˈto
parròquia_ciutat_sanitària_vall_hebron	pəˈrɔkiəsiuwˈtatsəniˈtaɾiəˈβaʎəˈβɾon
parròquia_corpus_christi	pəˈrɔkiəˈkɔrpusˈkristi
parròquia_crist_redemptor	pəˈrɔkiəˈkɾizrəðəmˈto
parròquia_crist_rei	pəˈrɔkiəˈkɾizˈrej
parròquia_esperit_sant	pəˈrɔkiəspəˈɾitˈsan
parròquia_hospital_clínic	pəˈrɔkiəuwspiˈtalˈklinik
parròquia_immaculat_cor_de_maria	pəˈrɔkiəimməkuˈlatˈkɔrdəməˈɾiə
parròquia_mare_de_déu_de_betlem	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəβəlˈlɛm
parròquia_mare_de_déu_de_fàtima	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəˈfatimə
parròquia_mare_de_déu_de_la_mercè_i_sant_miquel_arcàngel	pəˈrɔkiə#ˈmaɾəðəˈðeuwðələmərˈsɛ#iˈsammiˈkɛlərˈkaɲʒəl
parròquia_mare_de_déu_de_la_salut	pəˈrɔkiə#ˈmaɾəðəˈðeuwðələsəˈlut
parròquia_mare_de_déu_del_coll	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlˈkɔʎ
parròquia_mare_de_déu_de_l'esperança	pəˈrɔkiə#ˈmaɾəðəˈðeuwðələspəˈɾansə
parròquia_mare_de_déu_del_mont_carme	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlˈmoŋˈkarmə
parròquia_mare_de_déu_de_lourdes	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəˈlurðes
parròquia_mare_de_déu_del_pilar	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlpiˈla
parròquia_mare_de_déu_del_port	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlˈpɔrt
parròquia_mare_de_déu_del_roser	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlruˈze
parròquia_mare_de_déu_dels_àngels	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlˈzaɲʒəls
parròquia_mare_de_déu_dels_dolors	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəlzðuˈlos
parròquia_mare_de_déu_de_montserrat	pəˈrɔkiə#ˈmaɾəðəˈðeuwðəmunsəˈrat
parròquia_mare_de_déu_medalla_miraculosa	pəˈrɔkiə#ˈmaɾəðəˈðeuwməˈðaʎəmiɾəkuˈlozə
parròquia_maria_auxiliadora	pəˈrɔkiəməˈɾiəuwksiliəˈðoɾə
parròquia_maria_mitjancera_de_totes_les_gràcies	pəˈrɔkiəməˈɾiəmidʒənˈseɾəðəˈtotəzləzˈɣɾasiəs
parròquia_maria_reina	pəˈrɔkiəməˈɾiəˈrejnə
parròquia_puríssima_concepció	pəˈrɔkiəpuˈɾisiməkunsəpsiˈo
parròquia_sagrada_família	pəˈrɔkiəsəˈɣɾaðəfəˈmiliə
parròquia_sagrat_cor_de_jesús	pəˈrɔkiəsəˈɣɾatˈkɔrðəʒəˈzus
parròquia_santa_anna	pəˈrɔkiəˈsanˈtannə
parròquia_santa_cecília	pəˈrɔkiəˈsantəsəˈsiliə
parròquia_santa_dorotea	pəˈrɔkiəˈsantəðuɾuˈtɛə
parròquia_santa_engràcia	pəˈrɔkiəˈsantəŋˈgɾasiə
parròquia_santa_eulàlia	pəˈrɔkiəˈsantəuwˈlaliə
parròquia_sant_agustí	pəˈrɔkiəˈsanəɣusˈti
parròquia_santa_isabel	pəˈrɔkiəˈsantəjzəˈβɛl
parròquia_santa_joaquima_de_vedruna	pəˈrɔkiə#ˈsantəʒuəˈkiməðəβəˈðɾunə
parròquia_sant_albert_magne	pəˈrɔkiəˈsanəlˈβɛrˈmagnə
parròquia_santa_madrona	pəˈrɔkiəˈsantəməˈðɾonə
parròquia_santa_maria_de_gràcia	pəˈrɔkiə#ˈsantəməˈɾiəðəˈɣɾasiə
parròquia_santa_maria_del_mar	pəˈrɔkiə#ˈsantəməˈɾiəðəlˈmar
parròquia_santa_maria_del_pi	pəˈrɔkiə#ˈsantəməˈɾiəðəlˈpi
parròquia_santa_maria_del_remei	pəˈrɔkiə#ˈsantəməˈɾiəðəlrəˈmɛj
parròquia_santa_maria_de_sants	pəˈrɔkiə#ˈsantəməˈɾiəðəˈsans
parròquia_santa_maria_de_vallvidrera	pəˈrɔkiə#ˈsantəməˈɾiəðəβaʎβiˈðɾeɾə
parròquia_santa_maria_magdalena	pəˈrɔkiəˈsantəməˈɾiəməgdəˈlɛnə
parròquia_sant_ambròs	pəˈrɔkiəˈsanəmˈbɾɔs
parròquia_sant_andreu_del_palomar	pəˈrɔkiə#ˈsantənˈdɾeuwðəlpəluˈma
parròquia_sant_àngel_custodi	pəˈrɔkiəˈsaˈnaɲʒəlkusˈtɔði
parròquia_sant_antoni_de_pàdua	pəˈrɔkiə#ˈsantənˈtɔniðəˈpaðuə
parròquia_santa_tecla	pəˈrɔkiəˈsantəˈteklə
parròquia_santa_teresa_de_jesús	pəˈrɔkiə#ˈsantətəˈɾɛzəðəʒəˈzus
parròquia_sant_baldiri	pəˈrɔkiəˈsambəlˈðiɾi
parròquia_sant_bernat_claravall	pəˈrɔkiəˈsambərˈnatkləɾəˈβaʎ
parròquia_sant_carles_borromeo	pəˈrɔkiəˈsaŋˈkarləzβuruˈmeu
parròquia_sant_cebrià	pəˈrɔkiəˈsansəβɾiˈa
parròquia_sant_crist	pəˈrɔkiəˈsaŋˈkɾist
parròquia_sant_domènec_de_guzmán	pəˈrɔkiə#ˈsanduˈmɛnəgdəɣuθˈman
parròquia_sant_esteve	pəˈrɔkiəˈsanəsˈteβə
parròquia_sant_eugeni_i_papa	pəˈrɔkiə#ˈsantəuwˈʒɛniˈpapə
parròquia_sant_fèlix	pəˈrɔkiəˈsamˈfɛliks
parròquia_sant_ferran	pəˈrɔkiəˈsamfəˈran
parròquia_sant_francesc_d'assís	pəˈrɔkiəˈsamfɾənˈsɛzgdəˈsis
parròquia_sant_francesc_de_sales	pəˈrɔkiə#ˈsamfɾənˈsɛzgdəˈsaləs
parròquia_sant_francesc_xavier	pəˈrɔkiəˈsamfɾənˈsɛskʃəβiˈe
parròquia_sant_genís_dels_agudells	pəˈrɔkiə#ˈsaɲʒəˈnizðəlzəɣuˈðeʎs
parròquia_sant_gregori_taumaturg	pəˈrɔkiəˈsaŋgɾəˈɣɔɾitəuwməˈturk
parròquia_sant_ignasi_de_loiola	pəˈrɔkiə#ˈsantigˈnaziðəluˈjɔlə
parròquia_sant_ildefons	pəˈrɔkiəˈsanilðəˈfons
parròquia_sant_isidor	pəˈrɔkiəˈsaniziˈðor
parròquia_santíssima_trinitat	pəˈrɔkiəsənˈtisimətɾiniˈtat
parròquia_santíssim_sagrament	pəˈrɔkiəsənˈtisimsəɣɾəˈmen
parròquia_sant_jeroni	pəˈrɔkiəˈsaɲʒəˈɾɔni
parròquia_sant_joan_bosco	pəˈrɔkiəˈsaɲʒuˈamˈbosko
parròquia_sant_joan_de_gràcia	pəˈrɔkiə#ˈsaɲʒuˈandəˈɣɾasiə
parròquia_sant_joan_de_la_creu	pəˈrɔkiə#ˈsaɲʒuˈandələˈkɾɛuw
parròquia_sant_joan_de_mata	pəˈrɔkiə#ˈsaɲʒuˈandəˈmatə
parròquia_sant_joan_maria_vianney	pəˈrɔkiə#ˈsaɲʒuˈamməˈɾiəβiəˈnɛj
parròquia_sant_josep_obrer	pəˈrɔkiəˈsaɲʒuˈzɛpuˈβɾe
parròquia_sant_josep_oriol	pəˈrɔkiəˈsaɲʒuˈzɛpuɾiˈɔl
parròquia_sant_lluís_gonzaga	pəˈrɔkiəˈsaɲʎuˈizɣonˈθaɣa
parròquia_sant_marcel	pəˈrɔkiəˈsammərˈsɛl
parròquia_sant_martí_del_clot	pəˈrɔkiə#ˈsammərˈtiðəlˈklɔt
parròquia_sant_martí_de_provençals	pəˈrɔkiə#ˈsammərˈtiðəpɾuβənˈsals
